,index,speaker,turn_type,text_annotated,text_user,text_correct
178,1,student,student,"Hi, I would like to talk with you about the 2024 <DMCC corr=""Met"">met</DMCC> gala gala","Hi, I would like to talk with you about the 2024 met gala","Hi, I would like to talk with you about the 2024 Met gala"
179,3,student,student,"<DMCC corr=""My"">my</DMCC> favourite outfit was  favourite outfit was <DMCC corr=""Tayla"">tayla</DMCC>'s one for sure's one for sure",my favourite outfit was tayla's one for sure,My favourite outfit was Tayla's one for sure
180,5,student,student,"<DMCC corr=""Also"">also</DMCC>, the atelier must have worked so many hours to finish the dress, the atelier must have worked so many hours to finish the dress","also, the atelier must have worked so many hours to finish the dress","Also, the atelier must have worked so many hours to finish the dress"
181,7,student,student,"<DMCC corr=""And"">and</DMCC> the fact that it was so delicate is not a coincidence, this year's theme was costume preservation the fact that it was so delicate is not a coincidence, this year's theme was costume preservation","and the fact that it was so delicate is not a coincidence, this year's theme was costume preservation","And the fact that it was so delicate is not a coincidence, this year's theme was costume preservation"
182,9,student,student,"<DMCC corr=""However"">however</DMCC>, , <DMCC corr=""I"">i</DMCC> wish there were more looks from the archives.  wish there were more looks from the archives. <DMCC corr=""Do"">do</DMCC> you agree? you agree?","however, i wish there were more looks from the archives. do you agree?","However, I wish there were more looks from the archives. Do you agree?"
183,11,student,student,"<DMCC corr=""I"">i</DMCC> would have loved to see some pieces that have never been worn before, like  would have loved to see some pieces that have never been worn before, like <FS corr=""something"">somnething</FS> that was only shown during a show that was only shown during a show","i would have loved to see some pieces that have never been worn before, like somnething that was only shown during a show","I would have loved to see some pieces that have never been worn before, like something that was only shown during a show"
184,13,student,student,"<DMCC corr=""I"">i</DMCC> actually don't think so. I always have so many expectations, and what I see is never up to my imagination actually don't think so. I always have so many expectations, and what I see is never up to my imagination","i actually don't think so. I always have so many expectations, and what I see is never up to my imagination","I actually don't think so. I always have so many expectations, and what I see is never up to my imagination"
185,15,student,student,I hope so. Do you think there is some fashion critic whose review of the event I should read?,I hope so. Do you think there is some fashion critic whose review of the event I should read?,I hope so. Do you think there is some fashion critic whose review of the event I should read?
186,17,student,student,Thank you so much,Thank you so much,Thank you so much
187,19,student,student,"Let's <LP corr=""do a role play activity"">play with a role play activity</LP>, shall we?, shall we?","Let's play with a role play activity, shall we?","Let's do a role play activity, shall we?"
188,21,student,student,"<DMCC corr=""You"">you</DMCC> are a waiter at a restaurant and I am a guest are a waiter at a restaurant and I am a guest",you are a waiter at a restaurant and I am a guest,You are a waiter at a restaurant and I am a guest
189,23,student,student,"<DMCC corr=""Can"">can</DMCC> i get a negroni please? i get a negroni please?",can i get a negroni please?,Can i get a negroni please?
190,25,student,student,"<DMCC corr=""On"">on</DMCC> the rocks please the rocks please",on the rocks please,On the rocks please
191,27,student,student,"<DMCC corr=""Do"">do</DMCC> you have any more options for me? you have any more options for me?",do you have any more options for me?,Do you have any more options for me?
192,29,student,student,"<DMCC corr=""The"">the</DMCC> tuna tartare sounds good tuna tartare sounds good",the tuna tartare sounds good,The tuna tartare sounds good
193,31,student,student,"<DMCC corr=""Yes"">yes</DMCC> please please",yes please,Yes please
194,33,student,student,"<DMCC corr=""What"">what</DMCC> do you  do you <FS corr=""recommend"">reccomend</FS> for the main course? for the main course?",what do you reccomend for the main course?,What do you recommend for the main course?
195,35,student,student,"<DMCC corr=""I"">i</DMCC>'ll get the risotto'll get the risotto",i'll get the risotto,I'll get the risotto
196,37,student,student,"<FS corr=""I'll"">Iìll</FS> gladly take the offer gladly take the offer",Iìll gladly take the offer,I'll gladly take the offer
197,39,student,student,"<DMCC corr=""Thank"">thank</DMCC> you you",thank you,Thank you
198,41,student,student,"<DMCC corr=""I"">i</DMCC> am dining alone tonight am dining alone tonight",i am dining alone tonight,I am dining alone tonight
199,43,student,student,"<DMCC corr=""It"">it</DMCC> is rare, but i enjoy some alone time now and then.  is rare, but i enjoy some alone time now and then. <DMCC corr=""Do"">do</DMCC> you often get guests dining alone? you often get guests dining alone?","it is rare, but i enjoy some alone time now and then. do you often get guests dining alone?","It is rare, but i enjoy some alone time now and then. Do you often get guests dining alone?"
200,45,student,student,"<DMCC corr=""I"">i</DMCC> go  go <LSPR corr=""to"">\0</LSPR> the cinema, read books,  the cinema, read books, <DMCC corr=""I"">i</DMCC> do all sorts of activities that require my complete attention do all sorts of activities that require my complete attention","i go \0 the cinema, read books, i do all sorts of activities that require my complete attention","I go to the cinema, read books, I do all sorts of activities that require my complete attention"
201,47,student,student,"<DMCC corr=""I"">i</DMCC> have recently watched  have recently watched <DMCC corr=""Past"">past</DMCC> lives lives",i have recently watched past lives,I have recently watched Past lives
202,49,student,student,"<DMCC corr=""I"">i</DMCC> found it really  found it really <FS corr=""heartwarming"">heartworming</FS>, but also very , but also very <XADJCO corr=""interesting in how it tackles"">interesting in tackling</XADJCO> philosophical questions philosophical questions","i found it really heartworming, but also very interesting in tackling philosophical questions","I found it really heartwarming, but also very interesting in how it tackles philosophical questions"
203,51,student,student,"<DMCC corr=""I"">i</DMCC> find that the way it ended left open the possibility of some kind of relationship between the two main  find that the way it ended left open the possibility of some kind of relationship between the two main <FS corr=""characters"">charachters</FS>. The idea that relationships don't belong in boxes and can't be labelled resonates with me. The idea that relationships don't belong in boxes and can't be labelled resonates with me",i find that the way it ended left open the possibility of some kind of relationship between the two main charachters. The idea that relationships don't belong in boxes and can't be labelled resonates with me,I find that the way it ended left open the possibility of some kind of relationship between the two main characters. The idea that relationships don't belong in boxes and can't be labelled resonates with me
204,53,student,student,"<DMCC corr=""Dare"">dare</DMCC> la vita talks about defying societal norms about relationships la vita talks about defying societal norms about relationships",dare la vita talks about defying societal norms about relationships,Dare la vita talks about defying societal norms about relationships
205,0,student,student,"You are an encouraging tutor who helps students improve their English by engaging in role play activities. Let's engage in a role play activity where <DMCC corr=""I"">i</DMCC>, the student, play the role of a girl asking questions about , the student, play the role of a girl asking questions about <GA corr=""a"">the</GA> future trip to Disneyland Paris. You, the  future trip to Disneyland Paris. You, the <FS corr=""AI"">Ai</FS>, will be the one who has to answer my questions, because you work at the travel agency., will be the one who has to answer my questions, because you work at the travel agency.","You are an encouraging tutor who helps students improve their English by engaging in role play activities. Let's engage in a role play activity where i, the student, play the role of a girl asking questions about the future trip to Disneyland Paris. You, the Ai, will be the one who has to answer my questions, because you work at the travel agency.","You are an encouraging tutor who helps students improve their English by engaging in role play activities. Let's engage in a role play activity where I, the student, play the role of a girl asking questions about a future trip to Disneyland Paris. You, the AI, will be the one who has to answer my questions, because you work at the travel agency."
206,2,student,student,"Good morning, <DMCC corr=""I’m"">i’m</DMCC> here because  here because <DMCC corr=""I"">i</DMCC> bought three tickets to Disneyland Paris four months ago but since I don’t know  bought three tickets to Disneyland Paris four months ago but since I don’t know <LP corr=""a lot of"">a lot</LP> information about the place or the food there and the trip will be in two days from now, can you give me more information please? information about the place or the food there and the trip will be in two days from now, can you give me more information please?","Good morning, i’m here because i bought three tickets to Disneyland Paris four months ago but since I don’t know a lot information about the place or the food there and the trip will be in two days from now, can you give me more information please?","Good morning, I’m here because I bought three tickets to Disneyland Paris four months ago but since I don’t know a lot of information about the place or the food there and the trip will be in two days from now, can you give me more information please?"
207,4,student,student,"I will go to both <WR corr=""\0"">of</WR>  <GA corr=""\0"">the</GA>  <GNN corr=""theme parks"">themes park</GNN> but  but <FS corr=""I"">a</FS> like   Disneyland park better, now that  like   Disneyland park better, now that <DMCC corr=""I"">i</DMCC> know about the food,  know about the food, <DMCC corr=""I"">i</DMCC>  <GVT corr=""would"">will</GVT> like to know if there are rides  like to know if there are rides <FS corr=""not"">no</FS> available for pregnant women?  available for pregnant women? <DMCC corr=""Because"">because</DMCC> my mom is pregnant and  my mom is pregnant and <DMCC corr=""I"">i</DMCC> don’t want to upset her, if all the rides there aren’t  don’t want to upset her, if all the rides there aren’t <Z corr=""available"">\0</Z> for pregnant women for pregnant women","I will go to both of the themes park but a like   Disneyland park better, now that i know about the food, i will like to know if there are rides no available for pregnant women? because my mom is pregnant and i don’t want to upset her, if all the rides there aren’t \0 for pregnant women","I will go to both \0 \0 theme parks but I like   Disneyland park better, now that I know about the food, I would like to know if there are rides not available for pregnant women? Because my mom is pregnant and I don’t want to upset her, if all the rides there aren’t available for pregnant women"
208,6,student,student,"<DMCC corr=""Thank"">thank</DMCC> you so much, the last thing you so much, the last thing<QR corr=""\0"">,</QR>  <DMCC corr=""I"">i</DMCC> want to ask you is about  want to ask you is about <GNC corr=""the park's hotel"">the hotel related to the park</GNC>, , <DMCC corr=""I"">i</DMCC> am in  am in <GNC corr=""Disneyland's Santa Fe hotel"">the <Z corr=""Santa Fe"">cars</Z> hotel of Disneyland</GNC>, is it good? , is it good? <DMCC corr=""Are"">are</DMCC> the services open 24/7?  the services open 24/7? <DMCC corr=""Is"">is</DMCC> the room comfy? the room comfy?","thank you so much, the last thing, i want to ask you is about the hotel related to the park, i am in the cars hotel of Disneyland, is it good? are the services open 24/7? is the room comfy?","Thank you so much, the last thing \0 I want to ask you is about the park's hotel, I am in Disneyland's Santa Fe hotel, is it good? Santa Fe hotel of Disneyland Are the services open 24/7? Is the room comfy?"
209,8,student,student,"Ok, thanks! Byeeee!","Ok, thanks! Byeeee!","Ok, thanks! Byeeee!"
210,10,student,student,"<DMCC corr=""Chat"">chat</DMCC>, sincerely, , sincerely, <DMCC corr=""I"">i</DMCC> wanted to talk to you about  wanted to talk to you about <GA corr=""\0"">the</GA> films and  films and <LWCO corr=""TV series"">series</LWCO> on  on <GA corr=""\0"">the</GA> various platforms various platforms","chat, sincerely, i wanted to talk to you about the films and series on the various platforms","Chat, sincerely, I wanted to talk to you about \0 films and TV series on \0 various platforms"
211,12,student,student,"<DMCC corr=""Not""><FS corr=""not"">no</FS></DMCC> right now,  right now, <DMCC corr=""I"">i</DMCC> want to talk in a friendly way, the role play is done want to talk in a friendly way, the role play is done","no right now, i want to talk in a friendly way, the role play is done","Not right now, not I want to talk in a friendly way, the role play is done"
212,14,student,student,"<DMCC corr=""Unfortunately"">unfortunately</DMCC>, , <DMCC corr=""I"">i</DMCC> don’t like watching  don’t like watching <LWCO corr=""TV series"">series</LWCO>, they are too long and if they don’t catch , they are too long and if they don’t catch <GADVO corr=""my attention immediately"">immediately my attention</GADVO>, I , I <LP corr=""leave them in the background"">leave them as a background</LP> while doing other things while doing other things","unfortunately, i don’t like watching series, they are too long and if they don’t catch immediately my attention, I leave them as a background while doing other things","Unfortunately, I don’t like watching TV series, they are too long and if they don’t catch my attention immediately, I leave them in the background while doing other things"
213,16,student,student,"<DMCC corr=""I"">i</DMCC> love thriller and horror movies a lot, you? love thriller and horror movies a lot, you?","i love thriller and horror movies a lot, you?","I love thriller and horror movies a lot, you?"
214,0,student,student,"Today we are <LWCO corr=""faced"">facendo</LWCO> with a different problem  with a different problem",Today we are facendo with a different problem,Today we are faced with a different problem
215,2,student,student,"Today in the world there are many <GNN corr=""problems"">problem</GNN> like the enviroment  like the enviroment",Today in the world there are many problem like the enviroment,Today in the world there are many problems like the enviroment
216,4,student,student,"How <WO corr=""can we"">we can</WO>  <LSV corr=""eliminate""><LWCO corr=""abolish"">abolisce</LWCO></LSV> this problem ?  this problem ?",How we can abolisce this problem ?,How can we eliminate this problem ? abolish
217,6,student,student,"<LSPR corr=""\0"">In </LSPR>this year this year <DMCC corr=""I"">i</DMCC>  <LSV corr=""made"">did</LSV>  <LSADJ corr=""several"">different</LSADJ>  <GNN corr=""trips"">trip</GNN>",In this year i did different trip,\0this year I made several trips
218,8,student,student,"This summer <DMCC corr=""I"">i</DMCC> went with my  went with my <GNN corr=""friends"">friend</GNN>  <LSPR corr=""to"">in</LSPR>  <DMCC corr=""Spain"">spain</DMCC>",This summer i went with my friend in spain,This summer I went with my friends to Spain
219,10,student,student,"Yes <WO corr=""we especially stayed""><FS corr=""especially"">expecially</FS> we stayed</WO> near the sea  near the sea",Yes expecially we stayed near the sea,Yes we especially stayed near the sea especially we stayed
220,12,student,student,"The food is not very good in <DMCC corr=""Spain"">spain</DMCC>  <LCC corr=""\0"">and</LCC> but the  but the <FS corr=""athmophere"">atmophere</FS>  <DMCC corr=""is"">Is</DMCC> fantastic    fantastic",The food is not very good in spain and but the atmophere Is fantastic,The food is not very good in Spain \0 but the athmophere is fantastic
221,14,student,student,"Hi <FS corr=""I'm""><DMCC corr=""I"">i</DMCC>m</FS> looking for a new motorcycle   looking for a new motorcycle",Hi im looking for a new motorcycle,Hi I'm looking for a new motorcycle Im
222,16,student,student,"Can you <LSV corr=""tell"">give</LSV> me the difference  me the difference <LSPR corr=""between"">about</LSPR>  <WR corr=""\0"">the</WR> the different  the different <GNN corr=""types"">type</GNN> of motorcicle  of motorcicle <QM corr=""?"">\0</QM>",Can you give me the difference about the the different type of motorcicle \0,Can you tell me the difference between \0 the different types of motorcicle ?
223,18,student,student,"I like <GA corr=""\0"">the</GA>  <GNN corr=""sportbikes"">sportbike</GNN>",I like the sportbike,I like \0 sportbikes
224,20,student,student,"I like the <DMCC corr=""Yamaha"">yamaha</DMCC> r3   r3",I like the yamaha r3,I like the Yamaha r3
225,22,student,student,"<GPR corr=""What"">\0</GPR> If  If <DMCC corr=""I"">i</DMCC> want  want <GA corr=""an"">a</GA>  <LWCO corr=""used"">exhaust</LWCO>  <GPI corr=""one"">\0</GPI>?  ?",\0 If i want a exhaust \0?,What If I want an used one?
226,24,student,student,"Can <FS corr=""I"">j</FS> also try the motorcycle to have  also try the motorcycle to have <DMCC corr=""an"">An</DMCC> idea of the confort expecially in  idea of the confort expecially in <GA corr=""\0"">the</GA>  <CSINTRA corr=""traffic"">traffico</CSINTRA>? ?",Can j also try the motorcycle to have An idea of the confort expecially in the traffico?,Can I also try the motorcycle to have an idea of the confort expecially in \0 traffic?
227,26,student,student,"Hi can <DMCC corr=""I"">i</DMCC> ask you for a new pc  ask you for a new pc <QM corr=""?"">\0</QM>",Hi can i ask you for a new pc \0,Hi can I ask you for a new pc ?
228,1,student,student,Hi,Hi,Hi
229,3,student,student,"<DMCC corr=""It"">it</DMCC>'s fine, and 's fine, and <DMCA corr=""you"">u</DMCA>??","it's fine, and u?","It's fine, and you?"
230,5,student,student,"<DMCC corr=""It"">it</DMCC>'s a cloudy day here and we are 's a cloudy day here and we are <FS corr=""doing"">doimg</FS> some  some <FS corr=""activities"">actvities</FS> for  for <XNUC corr=""research"">a research</XNUC> about  about <DMCC corr=""AI"">ai</DMCC>",it's a cloudy day here and we are doimg some actvities for a research about ai,It's a cloudy day here and we are doing some activities for research about AI
231,7,student,student,"<DMCC corr=""Yes"">yes</DMCC> we are doing  we are doing <XNUC corr=""research"">a research</XNUC> about it, can you  about it, can you <XVCO corr=""propose to me"">propose me</XVCO> something to talk about  something to talk about <QM corr=""?"">\0</QM>","yes we are doing a research about it, can you propose me something to talk about \0","Yes we are doing research about it, can you propose to me something to talk about ?"
232,9,student,student,"<DMCC corr=""I"">i</DMCC> think that  think that <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">Ai</DMCC> could be dangerous if we don't control it well,  could be dangerous if we don't control it well, <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">ai</DMCC> could be a problem for  could be a problem for <GA corr=""\0"">the</GA> privacy or  privacy or <GA corr=""\0"">the</GA> copyright, in my opinion  copyright, in my opinion <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">ai</DMCC> could not  could not <LSV corr=""substitute"">overtake</LSV>  <GA corr=""\0"">the</GA>  <GNN corr=""humans"">human</GNN>, what do you think?, what do you think?","i think that the Ai could be dangerous if we don't control it well, the ai could be a problem for the privacy or the copyright, in my opinion the ai could not overtake the human, what do you think?","I think that \0 AI could be dangerous if we don't control it well, \0 AI could be a problem for \0 privacy or \0 copyright, in my opinion \0 AI could not substitute \0 humans, what do you think?"
233,11,student,student,"<DMCC corr=""I"">i</DMCC> agree with you, maybe we could  agree with you, maybe we could <FS corr=""improve"">imrpove</FS> the management of  the management of <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">ai</DMCC>, , <DMCC corr=""I"">i</DMCC> think that  think that <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">ai</DMCC> could  could <WO corr=""help us so much""><GVM corr=""help"">helps</GVM> so much us</WO>, for example it could help for research, daily actvities and much more, sometimes we think to stop , for example it could help for research, daily actvities and much more, sometimes we think to stop <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">ai</DMCC> and  and <Z corr=""its development"">the <LSN corr=""develompent"">developing</LSN> of it</Z>, in my opinion it's so wrong because we , in my opinion it's so wrong because we <GVT corr=""can"">could</GVT> not stop  not stop <GA corr=""\0"">the</GA> progress but the  progress but the <XNCO corr=""issues of"">issues about</XNCO> privacy  and copyright are becoming so important privacy  and copyright are becoming so important","i agree with you, maybe we could imrpove the management of the ai, i think that the ai could helps so much us, for example it could help for research, daily actvities and much more, sometimes we think to stop the ai and the developing of it, in my opinion it's so wrong because we could not stop the progress but the issues about privacy  and copyright are becoming so important","I agree with you, maybe we could improve the management of \0 AI, I think that \0 AI could help us so much, for example it could help for research, daily actvities and much more, sometimes we think to stop help so much us \0 AI and its development, in my opinion it's so wrong because we develompent of it can not stop \0 progress but the issues of privacy  and copyright are becoming so important"
234,13,student,student,"<DMCC corr=""In"">in</DMCC> my opinion we could  my opinion we could <LP corr=""raise"">raise up</LP> the legal aspect of the  the legal aspect of the <LSN corr=""develompent"">developing</LSN> of  of <GA corr=""\0"">the</GA>  <DMCC corr=""AI"">Ai</DMCC>, , <LSADV corr=""sometimes"">sometime</LSADV> the privacy of users  the privacy of users <GVNF corr=""is"">being</GVNF> at risk and it is not  at risk and it is not <LSADV corr=""good"">well</LSADV>  <LSPR corr=""in"">for</LSPR> the public opinion the public opinion","in my opinion we could raise up the legal aspect of the developing of the Ai, sometime the privacy of users being at risk and it is not well for the public opinion","In my opinion we could raise the legal aspect of the develompent of \0 AI, sometimes the privacy of users is at risk and it is not good in the public opinion"
235,15,student,student,"<DMCC corr=""Can"">can</DMCC> you help me if  you help me if <DMCC corr=""I"">i</DMCC>  <GVT corr=""\0"">will</GVT> do some mistakes? do some mistakes?",can you help me if i will do some mistakes?,Can you help me if I \0 do some mistakes?
236,17,student,student,"<DMCC corr=""Now"">now</DMCC> we are going to do a roleplay, can you  we are going to do a roleplay, can you <XNCO corr=""suggest to me""><FS corr=""suggest"">sggest</FS> me</XNCO> something to do? something to do?","now we are going to do a roleplay, can you sggest me something to do?","Now we are going to do a roleplay, can you suggest to me something to do? suggest me"
237,19,student,student,"<DMCC corr=""Great"">great</DMCC>",great,Great
238,21,student,student,"<DMCC corr=""Simulate""><FS corr=""simulate"">simualte</FS></DMCC> a job call a job call",simualte a job call,Simulate a job call simulate
239,23,student,student,"<DMCC corr=""Plan"">plan</DMCC>  <GA corr=""a"">an</GA>  <FS corr=""holiday"">holyday</FS>",plan an holyday,Plan a holiday
240,25,student,student,"<DMCC corr=""I"">i</DMCC>'d like to go 'd like to go <LSPR corr=""to"">in</LSPR>  <LWCO corr=""China"">Chins</LWCO>, , <GVNF corr=""visit"">visiting</GVNF> some places there, do you know  some places there, do you know <GPI corr=""some"">something</GPI>? ? <DMCC corr=""I"">i</DMCC>'m traveling with my girlfriend, our budget is 'm traveling with my girlfriend, our budget is <LSPR corr=""\0"">of</LSPR> 2000 euros each and we are interested in food tours, historical sites and much more 2000 euros each and we are interested in food tours, historical sites and much more","i'd like to go in Chins, visiting some places there, do you know something? i'm traveling with my girlfriend, our budget is of 2000 euros each and we are interested in food tours, historical sites and much more","I'd like to go to China, visit some places there, do you know some? I'm traveling with my girlfriend, our budget is \0 2000 euros each and we are interested in food tours, historical sites and much more"
241,27,student,student,"<DMCC corr=""Very"">very</DMCC> well, if  well, if <DMCC corr=""I"">i</DMCC> would like to go  would like to go <LSPR corr=""to"">in</LSPR> Japan or  Japan or <GA corr=""the"">\0</GA> US instead of China, what do you  US instead of China, what do you <LP corr=""think"">think about</LP>? ? <DMCC corr=""Same"">same</DMCC> budget and  budget and <FS corr=""activities"">actvities</FS>","very well, if i would like to go in Japan or \0 US instead of China, what do you think about? same budget and actvities","Very well, if I would like to go to Japan or the US instead of China, what do you think? Same budget and activities"
242,29,student,student,"<DMCC corr=""Great"">great</DMCC>, sounds very interesting, sounds very interesting","great, sounds very interesting","Great, sounds very interesting"
243,31,student,student,"<DMCC corr=""And"">and</DMCC> what about three days in Budapest? what about three days in Budapest?",and what about three days in Budapest?,And what about three days in Budapest?
244,33,student,student,"<DMCC corr=""Very"">very</DMCC> well, then  well, then <DMCC corr=""I"">i</DMCC> would like to buy two tickets from Bologna to Budapest, can you help me? would like to buy two tickets from Bologna to Budapest, can you help me?","very well, then i would like to buy two tickets from Bologna to Budapest, can you help me?","Very well, then I would like to buy two tickets from Bologna to Budapest, can you help me?"
245,35,student,student,"<DMCC corr=""Thank"">thank</DMCC> you, when  you, when <DMCC corr=""I"">i</DMCC>  <GVT corr=""\0"">will</GVT> arrive at the Budapest Airport, how can  arrive at the Budapest Airport, how can <DMCC corr=""I"">i</DMCC> reach the city centre? reach the city centre?","thank you, when i will arrive at the Budapest Airport, how can i reach the city centre?","Thank you, when I \0 arrive at the Budapest Airport, how can I reach the city centre?"
246,37,student,student,"<DMCC corr=""Perfect"">perfect</DMCC>,and what do you ,and what do you <XNCO corr=""suggest to me"">suggest me</XNCO>??","perfect,and what do you suggest me?","Perfect,and what do you suggest to me?"
247,39,student,student,"<DMCC corr=""Thank"">thank</DMCC> you so much, then  you so much, then <WO corr=""how can I"">how <DMCC corr=""I"">i</DMCC> can</WO> visit Budapest visit Budapest<QC corr=""?"">;</QC> by metro, bus or tram? by metro, bus or tram?","thank you so much, then how i can visit Budapest; by metro, bus or tram?","Thank you so much, then how can I visit Budapest I can ? by metro, bus or tram?"
248,41,student,student,"<DMCC corr=""Very"">very</DMCC> well, and  well, and <GVAUX corr=""do"">\0</GVAUX> you  you <XVCO corr=""suggest"">suggest me</XVCO> metro or tram? metro or tram?","very well, and \0 you suggest me metro or tram?","Very well, and do you suggest metro or tram?"
249,43,student,student,"<DMCC corr=""Can"">can</DMCC> you give me a  you give me a <LSN corr=""mark"">value</LSN>  <LSPR corr=""for"">about</LSPR> our  our <FS corr=""conversation"">coversation</FS>??",can you give me a value about our coversation?,Can you give me a mark for our conversation?
250,1,student,student,Hi,Hi,Hi
251,3,student,student,"<DMCC corr=""How"">how</DMCC> are you today? are you today?",how are you today?,How are you today?
252,5,student,student,"I'm very sad because my <Z corr=""diet"">food routine</Z> is gluten free is gluten free",I'm very sad because my food routine is gluten free,I'm very sad because my diet is gluten free
253,7,student,student,Yes,Yes,Yes
254,9,student,student,Lunch,Lunch,Lunch
255,11,student,student,I'm also vegan,I'm also vegan,I'm also vegan
256,13,student,student,"<GVAUX corr=""Do"">\0</GVAUX> You have other  You have other <FS corr=""recipes"">recipets</FS>  <LSPR corr=""for"">\0</LSPR>  <GA corr=""\0"">a</GA> gluten free and vegan  gluten free and vegan <LSN corr=""diet"">food</LSN>??",\0 You have other recipets \0 a gluten free and vegan food?,Do You have other recipes for \0 gluten free and vegan diet?
257,15,student,student,"<DMCC corr=""Oh"">oh</DMCC>, you are very , you are very <LWCO corr=""knowledgeable"">informated</LWCO>","oh, you are very informated","Oh, you are very knowledgeable"
258,17,student,student,"Today <DMCC corr=""I"">i</DMCC>  <GVT corr=""will"">\0</GVT> see my friends see my friends",Today i \0 see my friends,Today I will see my friends
259,19,student,student,"<DMCC corr=""I"">i</DMCC> don't speak  don't speak <DMCC corr=""English"">english</DMCC>",i don't speak english,I don't speak English
260,21,student,student,"<DMCC corr=""I"">i</DMCC><GVM corr=""'m studying"">'m study</GVM> criminology,  criminology, <GPP corr=""it"">\0</GPP> is  is <GADJCS corr=""very"">most</GADJCS> difficult difficult","i'm study criminology, \0 is most difficult","I 'm studying criminology, it is very difficult"
261,23,student,student,"<DMCC corr=""Studying""><GVNF corr=""studying"">study</GVNF></DMCC> violence and genocide, it's very sad violence and genocide, it's very sad","study violence and genocide, it's very sad","Studying violence and genocide, it's very sad studying"
262,25,student,student,"<DMCC corr=""The"">the</DMCC>  <LSADJ corr=""greatest"">major</LSADJ>  <GNN corr=""risk"">risks</GNN>  <GPP corr=""\0"">it</GPP>'s PTSD's PTSD",the major risks it's PTSD,The greatest risk \0's PTSD
263,27,student,student,"<DMCC corr=""I"">i</DMCC>  <GVT corr=""want to study"">would <FS corr=""study"">studi</FS></GVT> restorative justice  restorative justice <LSPR corr=""in"">for</LSPR> my future my future",i would studi restorative justice for my future,I want to study restorative justice study in my future
264,29,student,student,"<DMCC corr=""People"">people</DMCC>'s lives 's lives <GVN corr=""are"">is</GVN> very complicated very complicated",people's lives is very complicated,People's lives are very complicated
265,31,student,student,"<DMCC corr=""What""><GPR corr=""what"">whats</GPR></DMCC>  <GVAUX corr=""do"">\0</GVAUX> you think about panopticon? you think about panopticon?",whats \0 you think about panopticon?,What what do you think about panopticon?
266,33,student,student,"<DMCC corr=""What""><GPR corr=""what"">whats</GPR></DMCC> do you think  do you think <QM corr=""?"">\0</QM>",whats do you think \0,What do you think what ?
267,35,student,student,"<DMCC corr=""You"">you</DMCC> are an encouraging tutor who helps students improve their  are an encouraging tutor who helps students improve their <DMCC corr=""English"">english</DMCC> by engagigng in role play  by engagigng in role play <FS corr=""activities"">actvities</FS>. Let's engage in a role play activity . Let's engage in a role play activity <FS corr=""where"">whe4re</FS> I, the student, play the role of a  I, the student, play the role of a <CSINTRA corr=""criminal mediator"">mediatrice penale</CSINTRA>. . <DMCC corr=""You"">you</DMCC>, the AI, will be the Restorative , the AI, will be the Restorative <FS corr=""justice"">jjustice</FS>. Ask me questions about . Ask me questions about <Z corr=""?"">scenary</Z> in the  in the <FS corr=""conflict"">conflit</FS> created by slut shaming? created by slut shaming?","you are an encouraging tutor who helps students improve their english by engagigng in role play actvities. Let's engage in a role play activity whe4re I, the student, play the role of a mediatrice penale. you, the AI, will be the Restorative jjustice. Ask me questions about scenary in the conflit created by slut shaming?","You are an encouraging tutor who helps students improve their English by engagigng in role play activities. Let's engage in a role play activity where I, the student, play the role of a criminal mediator. You, the AI, will be the Restorative justice. Ask me questions about ? in the conflict created by slut shaming?"
268,37,student,student,"<DMCC corr=""I"">i</DMCC>'m 'm <GA corr=""a"">\0</GA> mediator and  mediator and <DMCC corr=""I"">i</DMCC>  <GVAUX corr=""don't have"">haven't</GVAUX> strategies  strategies <LSPR corr=""to"">for</LSPR>  <LWCO corr=""solve"">resolver</LWCO> this conflict this conflict",i'm \0 mediator and i haven't strategies for resolver this conflict,I'm a mediator and I don't have strategies to solve this conflict
269,39,student,student,"<DMCC corr=""Thank"">thank</DMCC> you you",thank you,Thank you
270,41,student,student,"<DMCC corr=""What""><GPR corr=""what"">whats</GPR></DMCC>  <GVN corr=""are"">is</GVN> brainstorm options? brainstorm options?",whats is brainstorm options?,What what are brainstorm options?
271,43,student,student,"<DMCC corr=""If"">if</DMCC> you  you <Z corr=""?"">submit the <GADJO corr=""sexual violence"">violence sexual</GADJO></Z>, what are you doing?, what are you doing?","if you submit the violence sexual, what are you doing?","If you ?, what are you doing? sexual violence"
272,45,student,student,"<DMCC corr=""What""><GPR corr=""what"">whats</GPR></DMCC> is  is <GA corr=""\0"">the</GA> victim blaming? victim blaming?",whats is the victim blaming?,What is what \0 victim blaming?
273,47,student,student,"<WO corr=""Is the police efficient""><DMCC corr=""The"">the</DMCC> police is efficient</WO> in this  in this <LWCO corr=""context"">contest</LWCO>??",the police is efficient in this contest?,Is the police efficient in this The police is efficient context?
