,index,speaker,turn_type,text_an,text_og,text_ok
282,3,student,student,"Nowadays, I would have to say my phone. Not because I'm always using it, but rather because we use it for literally everything now.","Nowadays, I would have to say my phone. Not because I'm always using it, but rather because we use it for literally everything now.","Nowadays, I would have to say my phone. Not because I'm always using it, but rather because we use it for literally everything now."
283,5,student,student,"Probably chatting with my friends, especially since I moved away for university. Still, I believe technology is kinda ruining it for us.","Probably chatting with my friends, especially since I moved away for university. Still, I believe technology is kinda ruining it for us.","Probably chatting with my friends, especially since I moved away for university. Still, I believe technology is kinda ruining it for us."
284,7,student,student,"Not really. I use my PC to study, entertain myself and even <GVNF corr=""talk"">talking</GVNF> to other people. Not only that, but technology is taking up many <Z corr=""work places"">None</Z>, since they are being replaced nowadays. <GNC corr=""workers'"">worker's</GNC> places","Not really. I use my PC to study, entertain myself and even talking to other people. Not only that, but technology is taking up many worker's places, since they are being replaced nowadays.","Not really. I use my PC to study, entertain myself and even talk to other people. Not only that, but technology is taking up many work places, since they are being replaced nowadays. workers' places"
285,9,student,student,"I believe that creating new jobs is good, but only as long as the ""old"" jobs are still available for people. Think about voice actors now, their voices are being sampled and replaced with an AI, which costs much less money and takes much less time.","I believe that creating new jobs is good, but only as long as the ""old"" jobs are still available for people. Think about voice actors now, their voices are being sampled and replaced with an AI, which costs much less money and takes much less time.","I believe that creating new jobs is good, but only as long as the ""old"" jobs are still available for people. Think about voice actors now, their voices are being sampled and replaced with an AI, which costs much less money and takes much less time."
286,11,student,student,"Yes, absolutely. As the world progresses, we should be able to create new regulations to avoid problems such as what we have now in the voice acting field.","Yes, absolutely. As the world progresses, we should be able to create new regulations to avoid problems such as what we have now in the voice acting field.","Yes, absolutely. As the world progresses, we should be able to create new regulations to avoid problems such as what we have now in the voice acting field."
287,13,student,student,"I don't really know, I think I'm kind of a picky eater when it comes to what I like. Still, if I find myself in a foreign country, I'm open to possibilities.","I don't really know, I think I'm kind of a picky eater when it comes to what I like. Still, if I find myself in a foreign country, I'm open to possibilities.","I don't really know, I think I'm kind of a picky eater when it comes to what I like. Still, if I find myself in a foreign country, I'm open to possibilities."
288,15,student,student,"Well, I've been to several places around Europe, so I tried many different dishes, even though they were almost always the most famous ones.","Well, I've been to several places around Europe, so I tried many different dishes, even though they were almost always the most famous ones.","Well, I've been to several places around Europe, so I tried many different dishes, even though they were almost always the most famous ones."
289,17,student,student,"Actually, I loved escargots when I went to the south of France. I was afraid to try them because they are literally snails, but the taste was just so amazing.","Actually, I loved escargots when I went to the south of France. I was afraid to try them because they are literally snails, but the taste was just so amazing.","Actually, I loved escargots when I went to the south of France. I was afraid to try them because they are literally snails, but the taste was just so amazing."
290,19,student,student,"It's true, but I also have to say that I understand where most people come from <QR corr=""\0"">,</QR> when refusing to eat a certain dish. A lot of people are scared of the unknown.","It's true, but I also have to say that I understand where most people come from, when refusing to eat a certain dish. A lot of people are scared of the unknown.","It's true, but I also have to say that I understand where most people come from \0 when refusing to eat a certain dish. A lot of people are scared of the unknown."
291,21,student,student,"I really can't think of anything right now. Since I moved away from my parents' house, I'm doing so many new things that I couldn't do before.","I really can't think of anything right now. Since I moved away from my parents' house, I'm doing so many new things that I couldn't do before.","I really can't think of anything right now. Since I moved away from my parents' house, I'm doing so many new things that I couldn't do before."
292,23,student,student,"I love it. I have my freedom and my independence, which is great, but I'm also never completely alone, as I live with four flatmates in a rather big house.","I love it. I have my freedom and my independence, which is great, but I'm also never completely alone, as I live with four flatmates in a rather big house.","I love it. I have my freedom and my independence, which is great, but I'm also never completely alone, as I live with four flatmates in a rather big house."
293,25,student,student,"I think we get along pretty well. I'm the youngest, but it's not a problem most of the time. We have dinner together, we sit in the kitchen and talk, it's great to have someone to rely on.","I think we get along pretty well. I'm the youngest, but it's not a problem most of the time. We have dinner together, we sit in the kitchen and talk, it's great to have someone to rely on.","I think we get along pretty well. I'm the youngest, but it's not a problem most of the time. We have dinner together, we sit in the kitchen and talk, it's great to have someone to rely on."
294,27,student,student,"I want to roleplay to <LSV corr=""improve"">better</LSV> my English. Could we make up a scenario where I'm a patient talking to a doctor about an illness?",I want to roleplay to better my English. Could we make up a scenario where I'm a patient talking to a doctor about an illness?,I want to roleplay to improve my English. Could we make up a scenario where I'm a patient talking to a doctor about an illness?
295,29,student,student,"Hello, Doctor. I've been having really bad back pain lately, and nothing I do makes it better.","Hello, Doctor. I've been having really bad back pain lately, and nothing I do makes it better.","Hello, Doctor. I've been having really bad back pain lately, and nothing I do makes it better."
296,31,student,student,"It's mostly sharp, as if something was constantly poking me whenever I'm sitting. Sometimes, it even goes up to my neck.","It's mostly sharp, as if something was constantly poking me whenever I'm sitting. Sometimes, it even goes up to my neck.","It's mostly sharp, as if something was constantly poking me whenever I'm sitting. Sometimes, it even goes up to my neck."
297,33,student,student,"I have been sitting a lot more recently, but the pain started a while back, when I had a more active lifestyle. Any suggestions what it might be?","I have been sitting a lot more recently, but the pain started a while back, when I had a more active lifestyle. Any suggestions what it might be?","I have been sitting a lot more recently, but the pain started a while back, when I had a more active lifestyle. Any suggestions what it might be?"
298,35,student,student,"Yes, it does. If I run for too long, my back starts aching like you wouldn't believe.","Yes, it does. If I run for too long, my back starts aching like you wouldn't believe.","Yes, it does. If I run for too long, my back starts aching like you wouldn't believe."
299,37,student,student,"I always do them, but <GPP corr=""they"">it</GPP> still does nothing. I used to play volleyball until a year ago, do you think this might be what caused it?","I always do them, but it still does nothing. I used to play volleyball until a year ago, do you think this might be what caused it?","I always do them, but they still does nothing. I used to play volleyball until a year ago, do you think this might be what caused it?"
300,39,student,student,"Well, I was always either jumping or <FS corr=""falling"">fallinf</FS> on the floor to save the ball, and we would have trainings and matches up to five times a week. Do you believe I overstressed my body?","Well, I was always either jumping or fallinf on the floor to save the ball, and we would have trainings and matches up to five times a week. Do you believe I overstressed my body?","Well, I was always either jumping or falling on the floor to save the ball, and we would have trainings and matches up to five times a week. Do you believe I overstressed my body?"
301,41,student,student,"I actually have, and I even did x-rays to determine whether I might have scoliosis or any other issues, but it turned out that my spine is as straight as a pole.","I actually have, and I even did x-rays to determine whether I might have scoliosis or any other issues, but it turned out that my spine is as straight as a pole.","I actually have, and I even did x-rays to determine whether I might have scoliosis or any other issues, but it turned out that my spine is as straight as a pole."
302,43,student,student,"I used to apply heated pads where the pain was worse, and it did feel better for as long as I kept the pad on. If I took it off, it was a matter of hours before I was back to where I started.","I used to apply heated pads where the pain was worse, and it did feel better for as long as I kept the pad on. If I took it off, it was a matter of hours before I was back to where I started.","I used to apply heated pads where the pain was worse, and it did feel better for as long as I kept the pad on. If I took it off, it was a matter of hours before I was back to where I started."
303,45,student,student,"I'm sorry, but I don't think meditation will help my back pain go away. Could you please give me another solution, maybe quicker? This pain's really killing me.","I'm sorry, but I don't think meditation will help my back pain go away. Could you please give me another solution, maybe quicker? This pain's really killing me.","I'm sorry, but I don't think meditation will help my back pain go away. Could you please give me another solution, maybe quicker? This pain's really killing me."
304,47,student,student,"What about painkillers? Do you think they could help me, at least for a short period of time, until I find out what is really causing my back pain?","What about painkillers? Do you think they could help me, at least for a short period of time, until I find out what is really causing my back pain?","What about painkillers? Do you think they could help me, at least for a short period of time, until I find out what is really causing my back pain?"
305,49,student,student,"I understand. Would it be possible for me to take them, even if I'm already taking pills for a thyroid problem?","I understand. Would it be possible for me to take them, even if I'm already taking pills for a thyroid problem?","I understand. Would it be possible for me to take them, even if I'm already taking pills for a thyroid problem?"
306,51,student,student,"I understand. Thanks for the help Doctor. While we're on the subject, can I ask you another thing?","I understand. Thanks for the help Doctor. While we're on the subject, can I ask you another thing?","I understand. Thanks for the help Doctor. While we're on the subject, can I ask you another thing?"
307,53,student,student,"Six years ago, I broke my left elbow falling, and it was fine up until two months ago. Now, whenever it's raining, my left arm hurts a little. It's nothing too serious, but should I get it checked?","Six years ago, I broke my left elbow falling, and it was fine up until two months ago. Now, whenever it's raining, my left arm hurts a little. It's nothing too serious, but should I get it checked?","Six years ago, I broke my left elbow falling, and it was fine up until two months ago. Now, whenever it's raining, my left arm hurts a little. It's nothing too serious, but should I get it checked?"
308,55,student,student,"Sometimes, it makes a small sound as if something cracked, but I don't really feel any pain. It just makes that sound.","Sometimes, it makes a small sound as if something cracked, but I don't really feel any pain. It just makes that sound.","Sometimes, it makes a small sound as if something cracked, but I don't really feel any pain. It just makes that sound."
309,57,student,student,"I understand, thanks. Just another thing, concerning my mental health this time.","I understand, thanks. Just another thing, concerning my mental health this time.","I understand, thanks. Just another thing, concerning my mental health this time."
310,0,student,student,"Hi ChatGPT, let's talk about something","Hi ChatGPT, let's talk about something","Hi ChatGPT, let's talk about something"
311,2,student,student,I'd like to talk about something you like,I'd like to talk about something you like,I'd like to talk about something you like
312,4,student,student,"I think human imagination can be limitless and there isn't a specific ""area"" of creativity more - or less - important than others . However , I think that the best way to learn to use imagination <LSV corr=""is"">passes</LSV> through arts","I think human imagination can be limitless and there isn't a specific ""area"" of creativity more - or less - important than others . However , I think that the best way to learn to use imagination passes through arts","I think human imagination can be limitless and there isn't a specific ""area"" of creativity more - or less - important than others . However , I think that the best way to learn to use imagination is through arts"
313,6,student,student,"Yes , I do . I love music,  and I play many instruments . I think music , especially creating music , not listening to it , really gives musicians a new ""key"" to open the doors of  knowledge , because music composition has strict rules that can be altered , resulting (depending on the musician's creativity) , in a new form of art , but also in a new form of ear torture . However , it's easy to say that every music genius uses ""errors"" to create beauty","Yes , I do . I love music,  and I play many instruments . I think music , especially creating music , not listening to it , really gives musicians a new ""key"" to open the doors of  knowledge , because music composition has strict rules that can be altered , resulting (depending on the musician's creativity) , in a new form of art , but also in a new form of ear torture . However , it's easy to say that every music genius uses ""errors"" to create beauty","Yes , I do . I love music,  and I play many instruments . I think music , especially creating music , not listening to it , really gives musicians a new ""key"" to open the doors of  knowledge , because music composition has strict rules that can be altered , resulting (depending on the musician's creativity) , in a new form of art , but also in a new form of ear torture . However , it's easy to say that every music genius uses ""errors"" to create beauty"
314,8,student,student,"Stop talking about this topic . I need to practice my <DMCC corr=""English"">english</DMCC> with a role play , can you help me with that ?","Stop talking about this topic . I need to practice my english with a role play , can you help me with that ?","Stop talking about this topic . I need to practice my English with a role play , can you help me with that ?"
315,10,student,student,I like the job interview one,I like the job interview one,I like the job interview one
316,12,student,student,"Good morning , of course I can . I'm from Napoli , and I studied languages , such as <DMCC corr=""Spanish"">spanish</DMCC> , <DMCC corr=""English"">english</DMCC> and <DMCC corr=""Chinese"">chinese</DMCC> for five years , and then <DMCC corr=""I"">i</DMCC> chose to <LSV corr=""pursue"">follow</LSV> a degree in political sciences . I had many jobs , <DMCC corr=""I"">i</DMCC> worked at the Aspen <DMCC corr=""Center for Physics"">center </DMCC> as a gardener , <LWCO corr=""for"">of</LWCO> physics <DMCC corr=""I"">i</DMCC> worked as a waiter , and <DMCC corr=""I"">i</DMCC> had a small online business","Good morning , of course I can . I'm from Napoli , and I studied languages , such as spanish , english and chinese for five years , and then i chose to follow a degree in political sciences . I had many jobs , i worked at the Aspen center of physics as a gardener , i worked as a waiter , and i had a small online business","Good morning , of course I can . I'm from Napoli , and I studied languages , such as Spanish , English and Chinese for five years , and then I chose to pursue a degree in political sciences . I had many jobs , I worked at the Aspen Center for Physics as a gardener , for physics I worked as a waiter , and I had a small online business"
317,14,student,student,"I think they can be useful in <FS corr=""many"">mano</FS> ways : I can talk to people from many parts of the world , and my degree can help me - and the whole office - understand some events of the world , so that we can talk to people in the right way","I think they can be useful in mano ways : I can talk to people from many parts of the world , and my degree can help me - and the whole office - understand some events of the world , so that we can talk to people in the right way","I think they can be useful in many ways : I can talk to people from many parts of the world , and my degree can help me - and the whole office - understand some events of the world , so that we can talk to people in the right way"
318,16,student,student,"Once , I had to hire a coworker from Iran , <GPR corr=""who"">that</GPR> eventually had his bank account blocked abroad . Speaking to the <DMCC corr=""Italian"">italian</DMCC> embassy , I was able to make the bank pay for his stay in Italy . I'm not a genius , I just talk to the right people <LSPR corr=""at"">in</LSPR> the right time","Once , I had to hire a coworker from Iran , that eventually had his bank account blocked abroad . Speaking to the italian embassy , I was able to make the bank pay for his stay in Italy . I'm not a genius , I just talk to the right people in the right time","Once , I had to hire a coworker from Iran , who eventually had his bank account blocked abroad . Speaking to the Italian embassy , I was able to make the bank pay for his stay in Italy . I'm not a genius , I just talk to the right people at the right time"
319,18,student,student,I usually just make the stress slip away,I usually just make the stress slip away,I usually just make the stress slip away
320,20,student,student,"I usually Bring a book to work <FS corr=""every day"">everyday</FS> . During <GA corr=""\0"">the</GA> <FS corr=""lunch"">launch</FS> break , <DMCC corr=""I"">i</DMCC> read it , and it calms me <FS corr=""every time"">everytime</FS> that I am stressed . Most importantly , I have <FS corr=""healthy"">healty</FS> sleep <FS corr=""rhythms"">rhytmhs</FS> .","I usually Bring a book to work everyday . During the launch break , i read it , and it calms me everytime that I am stressed . Most importantly , I have healty sleep rhytmhs .","I usually Bring a book to work every day . During \0 lunch break , I read it , and it calms me every time that I am stressed . Most importantly , I have healthy sleep rhythms ."
321,22,student,student,"I think I can contribute in many ways to the team , my skills talk , not me . Finally , I want to work here because I think it can be a great <Z corr=""place"">way</Z> to have a great career . And most importantly , I want to retire being happy with my work life . Here , I think I could be happy","I think I can contribute in many ways to the team , my skills talk , not me . Finally , I want to work here because I think it can be a great way to have a great career . And most importantly , I want to retire being happy with my work life . Here , I think I could be happy","I think I can contribute in many ways to the team , my skills talk , not me . Finally , I want to work here because I think it can be a great place to have a great career . And most importantly , I want to retire being happy with my work life . Here , I think I could be happy"
322,24,student,student,"No , I understood everything","No , I understood everything","No , I understood everything"
323,1,student,student,"Hi, I would like to talk with you about the 2024 <DMCC corr=""Met"">met</DMCC> gala","Hi, I would like to talk with you about the 2024 met gala","Hi, I would like to talk with you about the 2024 Met gala"
324,3,student,student,"<DMCC corr=""My"">my</DMCC> favourite outfit was <DMCC corr=""Tayla"">tayla</DMCC>'s one for sure",my favourite outfit was tayla's one for sure,My favourite outfit was Tayla's one for sure
325,5,student,student,"<DMCC corr=""Also"">also</DMCC>, the atelier must have worked so many hours to finish the dress","also, the atelier must have worked so many hours to finish the dress","Also, the atelier must have worked so many hours to finish the dress"
326,7,student,student,"<DMCC corr=""And"">and</DMCC> the fact that it was so delicate is not a coincidence, this year's theme was costume preservation","and the fact that it was so delicate is not a coincidence, this year's theme was costume preservation","And the fact that it was so delicate is not a coincidence, this year's theme was costume preservation"
327,9,student,student,"<DMCC corr=""However"">however</DMCC>, <DMCC corr=""I"">i</DMCC> wish there were more looks from the archives. <DMCC corr=""Do"">do</DMCC> you agree?","however, i wish there were more looks from the archives. do you agree?","However, I wish there were more looks from the archives. Do you agree?"
328,11,student,student,"<DMCC corr=""I"">i</DMCC> would have loved to see some pieces that have never been worn before, like <FS corr=""something"">somnething</FS> that was only shown during a show","i would have loved to see some pieces that have never been worn before, like somnething that was only shown during a show","I would have loved to see some pieces that have never been worn before, like something that was only shown during a show"
329,13,student,student,"<DMCC corr=""I"">i</DMCC> actually don't think so. I always have so many expectations, and what I see is never up to my imagination","i actually don't think so. I always have so many expectations, and what I see is never up to my imagination","I actually don't think so. I always have so many expectations, and what I see is never up to my imagination"
330,15,student,student,I hope so. Do you think there is some fashion critic whose review of the event I should read?,I hope so. Do you think there is some fashion critic whose review of the event I should read?,I hope so. Do you think there is some fashion critic whose review of the event I should read?
331,17,student,student,Thank you so much,Thank you so much,Thank you so much
332,19,student,student,"Let's <LP corr=""do a role play activity"">play with a role play activity</LP>, shall we?","Let's play with a role play activity, shall we?","Let's do a role play activity, shall we?"
333,21,student,student,"<DMCC corr=""You"">you</DMCC> are a waiter at a restaurant and I am a guest",you are a waiter at a restaurant and I am a guest,You are a waiter at a restaurant and I am a guest
334,23,student,student,"<DMCC corr=""Can"">can</DMCC> i get a negroni please?",can i get a negroni please?,Can i get a negroni please?
335,25,student,student,"<DMCC corr=""On"">on</DMCC> the rocks please",on the rocks please,On the rocks please
336,27,student,student,"<DMCC corr=""Do"">do</DMCC> you have any more options for me?",do you have any more options for me?,Do you have any more options for me?
337,29,student,student,"<DMCC corr=""The"">the</DMCC> tuna tartare sounds good",the tuna tartare sounds good,The tuna tartare sounds good
338,31,student,student,"<DMCC corr=""Yes"">yes</DMCC> please",yes please,Yes please
339,33,student,student,"<DMCC corr=""What"">what</DMCC> do you <FS corr=""recommend"">reccomend</FS> for the main course?",what do you reccomend for the main course?,What do you recommend for the main course?
340,35,student,student,"<DMCC corr=""I"">i</DMCC>'ll get the risotto",i'll get the risotto,I'll get the risotto
341,37,student,student,"<FS corr=""I'll"">Iìll</FS> gladly take the offer",Iìll gladly take the offer,I'll gladly take the offer
342,39,student,student,"<DMCC corr=""Thank"">thank</DMCC> you",thank you,Thank you
343,41,student,student,"<DMCC corr=""I"">i</DMCC> am dining alone tonight",i am dining alone tonight,I am dining alone tonight
344,43,student,student,"<DMCC corr=""It"">it</DMCC> is rare, but i enjoy some alone time now and then. <DMCC corr=""Do"">do</DMCC> you often get guests dining alone?","it is rare, but i enjoy some alone time now and then. do you often get guests dining alone?","It is rare, but i enjoy some alone time now and then. Do you often get guests dining alone?"
345,45,student,student,"<DMCC corr=""I"">i</DMCC> go <LSPR corr=""to"">\0</LSPR> the cinema, read books, <DMCC corr=""I"">i</DMCC> do all sorts of activities that require my complete attention","i go \0 the cinema, read books, i do all sorts of activities that require my complete attention","I go to the cinema, read books, I do all sorts of activities that require my complete attention"
346,47,student,student,"<DMCC corr=""I"">i</DMCC> have recently watched <DMCC corr=""Past"">past</DMCC> lives",i have recently watched past lives,I have recently watched Past lives
347,49,student,student,"<DMCC corr=""I"">i</DMCC> found it really <FS corr=""heartwarming"">heartworming</FS>, but also very <XADJCO corr=""interesting in how it tackles"">interesting in tackling</XADJCO> philosophical questions","i found it really heartworming, but also very interesting in tackling philosophical questions","I found it really heartwarming, but also very interesting in how it tackles philosophical questions"
348,51,student,student,"<DMCC corr=""I"">i</DMCC> find that the way it ended left open the possibility of some kind of relationship between the two main <FS corr=""characters"">charachters</FS>. The idea that relationships don't belong in boxes and can't be labelled resonates with me",i find that the way it ended left open the possibility of some kind of relationship between the two main charachters. The idea that relationships don't belong in boxes and can't be labelled resonates with me,I find that the way it ended left open the possibility of some kind of relationship between the two main characters. The idea that relationships don't belong in boxes and can't be labelled resonates with me
349,53,student,student,"<DMCC corr=""Dare"">dare</DMCC> la vita talks about defying societal norms about relationships",dare la vita talks about defying societal norms about relationships,Dare la vita talks about defying societal norms about relationships
350,0,student,student,"Hi, what's your favorite pet?","Hi, what's your favorite pet?","Hi, what's your favorite pet?"
351,2,student,student,"I love animals and I have a pet, its name is Milo","I love animals and I have a pet, its name is Milo","I love animals and I have a pet, its name is Milo"
352,4,student,student,We play together and go out for walks,We play together and go out for walks,We play together and go out for walks
353,6,student,student,Outside we run and play with other dogs,Outside we run and play with other dogs,Outside we run and play with other dogs
354,8,student,student,"Can we do <GA corr=""a"">\0</GA> role play? I have to practice with my <DMCC corr=""English"">english</DMCC>",Can we do \0 role play? I have to practice with my english,Can we do a role play? I have to practice with my English
355,10,student,student,"I want to <XNPR corr=""travel to"">travel in</XNPR> <DMCC corr=""Korea"">korea</DMCC> and you Will help me to find a <LSN corr=""flight"">fly</LSN> and hotel there",I want to travel in korea and you Will help me to find a fly and hotel there,I want to travel to Korea and you Will help me to find a flight and hotel there
356,12,student,student,"Yes sure. I want to visit <CSINTRA corr=""Seoul"">Seul</CSINTRA> <QM corr="","">\0</QM> the most important city, and I want to go there in May because it's my birthday","Yes sure. I want to visit Seul\0 the most important city, and I want to go there in May because it's my birthday","Yes sure. I want to visit Seoul , the most important city, and I want to go there in May because it's my birthday"
357,14,student,student,"I want to stay in Seoul for a week and my departure city is Naples because it's <GADJCS corr=""easier"">more easy</GADJCS> for me",I want to stay in Seoul for a week and my departure city is Naples because it's more easy for me,I want to stay in Seoul for a week and my departure city is Naples because it's easier for me
358,16,student,student,"I don't have any preferences for <FS corr=""airlines"">airlaines</FS>, but <DMCC corr=""I"">i</DMCC> would like a direct <LSN corr=""flight"">fly</LSN>. For the hotel <FS corr=""mid-range"">mind-range</FS> is ok, <DMCC corr=""I"">i</DMCC> don't want to spend so much Money only for the hotel","I don't have any preferences for airlaines, but i would like a direct fly. For the hotel mind-range is ok, i don't want to spend so much Money only for the hotel","I don't have any preferences for airlines, but I would like a direct flight. For the hotel mid-range is ok, I don't want to spend so much Money only for the hotel"
359,18,student,student,"I would like <DMCC corr=""Airline"">airline</DMCC> A and mid-range <DMCC corr=""Hotel C"">hotel c</DMCC>, <DMCC corr=""I"">i</DMCC> love that It has <GA corr=""a"">\0</GA> garden","I would like airline A and mid-range hotel c, i love that It has \0 garden","I would like Airline A and mid-range Hotel C, I love that It has a garden"
360,1,student,student,"Hi! I want to practice my English, let's do a roleplay activity!","Hi! I want to practice my English, let's do a roleplay activity!","Hi! I want to practice my English, let's do a roleplay activity!"
361,3,student,student,"I'm a university student in search of a house here in Forlì, you are the one that is going to help me","I'm a university student in search of a house here in Forlì, you are the one that is going to help me","I'm a university student in search of a house here in Forlì, you are the one that is going to help me"
362,5,student,student,"Hi Pi. Yes <XVPR corr=""I'm currently searching for"">None</XVPR> a place <GADVO corr=""I'm currently searching"">currently I'm searching</GADVO> <GDT corr=""\0"">where</GDT> to stay; I'd like a place possibly near the Campus",Hi Pi. Yes currently I'm searching a place where to stay; I'd like a place possibly near the Campus,Hi Pi. Yes I'm currently searching for a place I'm currently searching \0 to stay; I'd like a place possibly near the Campus
363,7,student,student,"I personally prefer living alone, however if there's no possibility I'm open to <GVNF corr=""sharing"">share</GVNF> the house with others","I personally prefer living alone, however if there's no possibility I'm open to share the house with others","I personally prefer living alone, however if there's no possibility I'm open to sharing the house with others"
364,9,student,student,300-400€,300-400€,300-400€
365,11,student,student,Definitely the studio apartment sounds more interesting,Definitely the studio apartment sounds more interesting,Definitely the studio apartment sounds more interesting
366,13,student,student,"That's exactly what I was looking for, thanks!","That's exactly what I was looking for, thanks!","That's exactly what I was looking for, thanks!"
367,15,student,student,"Yes of course, however may I ask you more questions about the place <GDT corr=""where"">\0</GDT> <WO corr=""the apartment is located"">is located the apartment</WO>?","Yes of course, however may I ask you more questions about the place \0 is located the apartment?","Yes of course, however may I ask you more questions about the place where the apartment is located?"
368,17,student,student,"Are there any gyms <LSADV corr=""nearby"">near</LSADV>?",Are there any gyms near?,Are there any gyms nearby?
369,19,student,student,"Sounds great, thanks!","Sounds great, thanks!","Sounds great, thanks!"
370,21,student,student,If it's possible,If it's possible,If it's possible
371,23,student,student,"I'm surely interested in the apartment, however can you tell me something more about the other <LSN corr=""option"">choice</LSN>?","I'm surely interested in the apartment, however can you tell me something more about the other choice?","I'm surely interested in the apartment, however can you tell me something more about the other option?"
372,25,student,student,I'd like to know more about the apartment first,I'd like to know more about the apartment first,I'd like to know more about the apartment first
373,27,student,student,"Sounds good to me, in what kind of area is <GPP corr=""it"">\0</GPP> located?","Sounds good to me, in what kind of area is \0 located?","Sounds good to me, in what kind of area is it located?"
374,29,student,student,"I'm the type of person who <GVN corr=""likes"">like</GVN> to cook on his own. Are there any grocery stores nearby where I can do <GA corr=""the"">\0</GA> shopping with a small amount of money?",I'm the type of person who like to cook on his own. Are there any grocery stores nearby where I can do \0 shopping with a small amount of money?,I'm the type of person who likes to cook on his own. Are there any grocery stores nearby where I can do the shopping with a small amount of money?
375,31,student,student,Thank you!,Thank you!,Thank you!
376,33,student,student,I'd prefer the apartment,I'd prefer the apartment,I'd prefer the apartment
377,35,student,student,I'll think about it,I'll think about it,I'll think about it
378,37,student,student,"Ok. Now let's change the topic. Let's <LSN corr=""have"">do</LSN> a small conversation about <GA corr=""the"">\0</GA> environment",Ok. Now let's change the topic. Let's do a small conversation about \0 environment,Ok. Now let's change the topic. Let's have a small conversation about the environment
379,39,student,student,"Nowadays climate change <GVN corr=""affects"">affect</GVN> everything and everyone. The <FS corr=""rising"">raising</FS> of the temperature <GVN corr=""causes"">cause</GVN> the melting of the ice sheets and the <FS corr=""rising"">raising</FS> of the sea level; to solve <GPD corr=""these"">this</GPD> issues <FS corr=""we"">with</FS> can surely recycle more to lower the level of greenhouse gases. What are your thoughts?",Nowadays climate change affect everything and everyone. The raising of the temperature cause the melting of the ice sheets and the raising of the sea level; to solve this issues with can surely recycle more to lower the level of greenhouse gases. What are your thoughts?,Nowadays climate change affects everything and everyone. The rising of the temperature causes the melting of the ice sheets and the rising of the sea level; to solve these issues we can surely recycle more to lower the level of greenhouse gases. What are your thoughts?
380,41,student,student,"That's right, however not everyone can or <GVN corr=""wants"">want</GVN> to adopt a more eco-friendly lifestyle, <GPR corr=""which"">\0</GPR> <GVAUX corr=""is"">\0</GVAUX> seen as something boring. Maybe by increasing the tax on petrol we can solve this problem","That's right, however not everyone can or want to adopt a more eco-friendly lifestyle,\0 \0 seen as something boring. Maybe by increasing the tax on petrol we can solve this problem","That's right, however not everyone can or wants to adopt a more eco-friendly lifestyle, which is seen as something boring. Maybe by increasing the tax on petrol we can solve this problem"
381,43,student,student,"What kind of <FS corr=""subsidies"">subsides</FS> <WO corr=""would you like to offer"">you would like to offer</WO>? <FS corr=""There"">Ther</FS> are many, however most of <FS corr=""them"">the</FS> are very difficult to <LSV corr=""implement"">make</LSV>","What kind of subsides you would like to offer? Ther are many, however most of the are very difficult to make","What kind of subsidies would you like to offer? There are many, however most of them are very difficult to implement"
382,0,student,student,"Hi <QM corr="","">\0</QM> what do you think about music? How <GVAUX corr=""does"">\0</GVAUX> music makes you feel?",Hi\0 what do you think about music? How \0 music makes you feel?,"Hi , what do you think about music? How does music makes you feel?"
383,2,student,student,"Well <QM corr="","">\0</QM> I can agree with you because when I listen to music it’s like I’m in a complete different world",Well\0 I can agree with you because when I listen to music it’s like I’m in a complete different world,"Well , I can agree with you because when I listen to music it’s like I’m in a complete different world"
384,4,student,student,"Yes <FS corr=""it's"">its</FS> very unique, and also from my point of view I think it’s very interesting when you listen to every <FS corr=""type"">tipe</FS> of music, even foreign <GPI corr=""ones"">one</GPI>","Yes its very unique, and also from my point of view I think it’s very interesting when you listen to every tipe of music, even foreign one","Yes it's very unique, and also from my point of view I think it’s very interesting when you listen to every type of music, even foreign ones"
385,6,student,student,"For example <QM corr="","">\0</QM> I study Korean and I’ve always been <LSV corr=""connected to"">in touch  with</LSV> Korean music and <LCLC corr=""more"">not only</LCLC> <QC corr=""."">,</QC> it’s really <LSADJ corr=""enjoyable"">amusing</LSADJ>","For example\0 I study Korean and I’ve always been in touch  with Korean music and not only, it’s really amusing","For example , I study Korean and I’ve always been connected to Korean music and more . it’s really enjoyable"
386,8,student,student,"Yes <QM corr="","">\0</QM> I love them all <QC corr=""."">,</QC> do you know any K-pop groups?","Yes\0 I love them all, do you know any K-pop groups?","Yes , I love them all . do you know any K-pop groups?"
387,10,student,student,"Wow <QM corr="","">\0</QM> you <Z corr=""know a lot about this"">really have knowledge about this topic</Z> <QC corr=""."">,</QC> I stan every single group you presented to me","Wow\0 you really have knowledge about this topic, I stan every single group you presented to me","Wow , you know a lot about this . I stan every single group you presented to me"
388,12,student,student,"You are totally right, and what do you think <WO corr=""your favourite SEVENTEEN song is"">None</WO> <WR corr=""\0"">it</WR>’s <FS corr=""your"">you’re</FS> favorite <DMCC corr=""SEVENTEEN"">seventeen</DMCC> song <QM corr=""?"">\0</QM>","You are totally right, and what do you think it’s you’re favorite seventeen song\0","You are totally right, and what do you think your favourite SEVENTEEN song is \0’s your favorite SEVENTEEN song ?"
